dir,speed,prob
30,9.9,7.11E-06
20,10,7.11E-06
20,10.6,7.11E-06
20,10.4,7.11E-06
10,10.8,7.11E-06
10,11.1,7.11E-06
20,10.9,7.11E-06
20,11.1,7.11E-06
20,10.4,7.11E-06
30,10.9,7.11E-06
30,12.4,7.11E-06
40,12,7.11E-06
40,13.2,7.11E-06
30,12.9,7.11E-06
40,12.4,7.11E-06
40,14.1,7.11E-06
40,13.9,7.11E-06
40,14.4,7.11E-06
50,13.7,7.11E-06
50,12.8,7.11E-06
50,12.7,7.11E-06
50,12.5,7.11E-06
50,13.8,7.11E-06
50,14.7,7.11E-06
40,12.5,7.11E-06
40,11.8,7.11E-06
50,13,7.11E-06
50,12.2,7.11E-06
40,11.7,7.11E-06
40,11.5,7.11E-06
40,11.9,7.11E-06
40,12.2,7.11E-06
40,12.5,7.11E-06
40,11.7,7.11E-06
40,11.9,7.11E-06
40,13.5,7.11E-06
60,12.9,7.11E-06
60,12,7.11E-06
70,12.8,7.11E-06
70,13.3,7.11E-06
70,13.5,7.11E-06
70,11.5,7.11E-06
80,11.2,7.11E-06
80,10.1,7.11E-06
70,10.3,7.11E-06
60,11.4,7.11E-06
60,11.4,7.11E-06
60,11.6,7.11E-06
70,12.6,7.11E-06
70,12.2,7.11E-06
60,10.8,7.11E-06
60,9.9,7.11E-06
70,10.7,7.11E-06
70,11.7,7.11E-06
80,13.6,7.11E-06
80,13,7.11E-06
80,13.3,7.11E-06
80,13.5,7.11E-06
80,13.4,7.11E-06
80,13.3,7.11E-06
80,13.7,7.11E-06
80,13,7.11E-06
80,12.9,7.11E-06
80,12,7.11E-06
80,12.4,7.11E-06
90,11.3,7.11E-06
80,11.4,7.11E-06
90,10.5,7.11E-06
90,10.4,7.11E-06
90,10.4,7.11E-06
90,9.9,7.11E-06
90,10.5,7.11E-06
100,10.2,7.11E-06
90,9.1,7.11E-06
100,8.7,7.11E-06
100,9.1,7.11E-06
100,6.2,7.11E-06
100,8.8,7.11E-06
100,9,7.11E-06
100,8.3,7.11E-06
100,8.5,7.11E-06
100,8.4,7.11E-06
100,7.5,7.11E-06
100,7.2,7.11E-06
100,6.8,7.11E-06
100,6.1,7.11E-06
100,5.7,7.11E-06
100,5.7,7.11E-06
