45923.63,45997.58,46071.73,46146.09,46220.66,46295.44,46370.42,46445.60,46520.99,46596.58,46672.37,46748.36,46824.55,46900.94,46977.53,47054.31,47131.29,47208.46,47285.83,47363.39,47441.14,47519.08,47597.21,47675.53,47754.04,47832.73,47911.62,47990.68,48069.93,48149.37,48228.98,48308.78,48388.76,48468.91,48549.25,48629.77,48710.46,48791.33,48872.37,48953.59,49034.98,49116.54,49198.28,49280.18,49362.26,49444.51,49526.92,49609.50,49692.25,49775.17
46035.72,46109.48,46183.46,46257.64,46332.03,46406.63,46481.43,46556.44,46631.65,46707.06,46782.67,46858.49,46934.50,47010.71,47087.12,47163.72,47240.53,47317.52,47394.71,47472.09,47549.67,47627.43,47705.39,47783.53,47861.86,47940.38,48019.09,48097.98,48177.05,48256.31,48335.75,48415.37,48495.18,48575.16,48655.32,48735.66,48816.18,48896.87,48977.74,49058.79,49140.00,49221.40,49302.96,49384.69,49466.60,49548.67,49630.91,49713.32,49795.90,49878.65
46147.96,46221.55,46295.34,46369.35,46443.56,46517.98,46592.60,46667.43,46742.46,46817.70,46893.13,46968.77,47044.60,47120.64,47196.87,47273.30,47349.92,47426.74,47503.75,47580.96,47658.36,47735.95,47813.73,47891.69,47969.85,48048.19,48126.72,48205.44,48284.34,48363.42,48442.69,48522.13,48601.76,48681.57,48761.56,48841.73,48922.07,49002.59,49083.29,49164.16,49245.21,49326.42,49407.81,49489.38,49571.11,49653.01,49735.08,49817.32,49899.73,49982.30
46260.35,46333.76,46407.38,46481.20,46555.24,46629.48,46703.93,46778.58,46853.43,46928.49,47003.75,47079.21,47154.87,47230.73,47306.78,47383.03,47459.48,47536.12,47612.96,47689.99,47767.21,47844.63,47922.23,48000.02,48078.00,48156.17,48234.53,48313.07,48391.79,48470.70,48549.79,48629.07,48708.52,48788.16,48867.97,48947.97,49028.14,49108.48,49189.01,49269.71,49350.58,49431.63,49512.84,49594.23,49675.79,49757.53,49839.43,49921.49,50003.73,50086.13
46372.89,46446.12,46519.56,46593.21,46667.07,46741.14,46815.41,46889.88,46964.56,47039.44,47114.52,47189.81,47265.29,47340.97,47416.85,47492.93,47569.20,47645.67,47722.33,47799.18,47876.23,47953.47,48030.90,48108.51,48186.32,48264.31,48342.49,48420.86,48499.41,48578.15,48657.06,48736.17,48815.45,48894.91,48974.55,49054.37,49134.37,49214.55,49294.90,49375.42,49456.12,49537.00,49618.05,49699.26,49780.65,49862.21,49943.94,50025.84,50107.91,50190.14
46485.58,46558.63,46631.90,46705.37,46779.06,46852.94,46927.04,47001.34,47075.84,47150.54,47225.45,47300.56,47375.87,47451.37,47527.08,47602.98,47679.08,47755.37,47831.85,47908.53,47985.41,48062.47,48139.72,48217.17,48294.80,48372.62,48450.63,48528.82,48607.20,48685.76,48764.50,48843.43,48922.54,49001.83,49081.30,49160.95,49240.77,49320.78,49400.96,49481.31,49561.84,49642.54,49723.42,49804.47,49885.69,49967.08,50048.64,50130.36,50212.26,50294.32
46598.42,46671.30,46744.39,46817.68,46891.19,46964.90,47038.82,47112.95,47187.27,47261.80,47336.53,47411.47,47486.60,47561.93,47637.46,47713.19,47789.11,47865.23,47941.54,48018.04,48094.74,48171.63,48248.71,48325.98,48403.44,48481.09,48558.92,48636.94,48715.14,48793.53,48872.11,48950.86,49029.80,49108.92,49188.21,49267.69,49347.34,49427.17,49507.18,49587.37,49667.73,49748.26,49828.96,49909.84,49990.89,50072.11,50153.50,50235.06,50316.78,50398.68
46711.40,46784.11,46857.02,46930.14,47003.48,47077.01,47150.76,47224.71,47298.86,47373.21,47447.77,47522.53,47597.49,47672.64,47748.00,47823.55,47899.30,47975.24,48051.38,48127.71,48204.24,48280.95,48357.86,48434.96,48512.24,48589.72,48667.38,48745.22,48823.26,48901.47,48979.87,49058.46,49137.22,49216.17,49295.29,49374.60,49454.08,49533.74,49613.58,49693.59,49773.78,49854.14,49934.68,50015.38,50096.26,50177.31,50258.53,50339.92,50421.48,50503.20
46824.53,46897.06,46969.80,47042.75,47115.91,47189.27,47262.84,47336.61,47410.59,47484.77,47559.16,47633.74,47708.53,47783.51,47858.69,47934.07,48009.64,48085.42,48161.38,48237.54,48313.89,48390.43,48467.17,48544.09,48621.20,48698.51,48775.99,48853.67,48931.53,49009.57,49087.80,49166.21,49244.81,49323.58,49402.54,49481.67,49560.98,49640.47,49720.14,49799.98,49880.00,49960.19,50040.56,50121.10,50201.81,50282.69,50363.74,50444.96,50526.35,50607.90
46937.80,47010.16,47082.73,47155.50,47228.49,47301.68,47375.07,47448.67,47522.48,47596.49,47670.70,47745.11,47819.72,47894.53,47969.54,48044.74,48120.14,48195.74,48271.53,48347.52,48423.70,48500.07,48576.63,48653.38,48730.32,48807.45,48884.77,48962.27,49039.96,49117.84,49195.89,49274.13,49352.56,49431.16,49509.94,49588.91,49668.05,49747.37,49826.87,49906.54,49986.39,50066.41,50146.61,50226.98,50307.52,50388.23,50469.11,50550.16,50631.38,50712.77
