dir,speed,prob
0,7.747695990424895,0.023762460715860127
10,7.442579138557343,0.02740290951493864
20,7.022638888888889,0.025596905618520783
30,6.686449003178272,0.024608580651583452
40,6.6794499221587955,0.02740290951493864
50,6.297016317016317,0.030502979195403932
60,5.926559310501248,0.03134909913112726
70,5.669806506485222,0.03343951308997312
80,5.5119861619861625,0.034939776169280866
90,5.50725198220847,0.036767110820380824
100,5.49684124386252,0.04344363703587833
110,5.413710344827586,0.05154932381507658
120,5.377846269971066,0.05651938965600603
130,5.450290184203886,0.056355853870109926
140,5.424396474645548,0.055666159468722005
150,5.400147130946542,0.05799121172907097
160,5.390424766018719,0.05925683650687561
170,5.3161346998535866,0.048563018159582486
180,5.397315898141776,0.04132478207078966
190,5.1473188102220355,0.03394434095078284
200,4.843848167539267,0.02716116096187483
210,4.707513661202186,0.020818816569730236
220,4.589855072463768,0.015208828088337765
230,4.33290282902829,0.011561269037698553
240,3.938950042337002,0.008397207093186957
250,4.154500494559842,0.00718846432786792
260,4.312777191129884,0.006726297976422406
270,4.367479674796748,0.006121926593762888
280,5.38118918918919,0.006576982693647701
290,5.5820419325433,0.007799945962088138
300,6.306501095690285,0.009733934386598598
310,6.496223870532703,0.010544503064518422
320,6.952314001171646,0.012137199414115271
330,6.929353846153846,0.011554158786137853
340,7.297161572052402,0.0162824760740035
350,7.764600326264274,0.021792921033546166
